fpr,tpr
0.012329134280353793,0.42149093351242445
0.012329134280353793,0.42390866353257217
0.012463146609488072,0.42390866353257217
0.012463146609488072,0.4247145735392881
0.012597158938622354,0.4247145735392881
0.012597158938622354,0.4252518468770987
0.012731171267756634,0.4252518468770987
0.012731171267756634,0.425520483546004
0.012865183596890914,0.425520483546004
0.012865183596890914,0.42632639355271995
0.012999195926025194,0.42632639355271995
0.012999195926025194,0.4271323035594359
0.013133208255159476,0.4271323035594359
0.013133208255159476,0.4282068502350571
0.013267220584293755,0.4282068502350571
0.013267220584293755,0.4295500335795836
0.013401232913428035,0.4295500335795836
0.013401232913428035,0.42995298858294156
0.013535245242562315,0.42995298858294156
0.013535245242562315,0.4302216252518469
0.013669257571696597,0.4302216252518469
0.013669257571696597,0.4304902619207522
0.013803269900830877,0.4304902619207522
0.013803269900830877,0.4315648085963734
0.013937282229965157,0.4315648085963734
0.013937282229965157,0.43169912693082607
0.014071294559099437,0.43169912693082607
0.014071294559099437,0.43237071860308934
0.014205306888233718,0.43237071860308934
0.014205306888233718,0.432505036937542
0.014339319217367998,0.432505036937542
0.014339319217367998,0.4327736736064473
0.014473331546502278,0.4327736736064473
0.014473331546502278,0.4334452652787105
0.01474135620477084,0.4334452652787105
0.01474135620477084,0.4335795836131632
0.01487536853390512,0.4335795836131632
0.01487536853390512,0.4341168569509738
0.0150093808630394,0.4341168569509738
0.0150093808630394,0.43425117528542645
0.01514339319217368,0.43425117528542645
0.01514339319217368,0.4350570852921424
0.015277405521307961,0.4350570852921424
0.015277405521307961,0.4358629952988583
0.015411417850442241,0.4358629952988583
0.015411417850442241,0.43693754197447954
0.015545430179576521,0.43693754197447954
0.015545430179576521,0.4370718603089322
0.0156794425087108,0.4370718603089322
0.0156794425087108,0.43814640698455337
0.01594746716697936,0.43814640698455337
0.01594746716697936,0.43854936198791133
0.016081479496113642,0.43854936198791133
0.016081479496113642,0.4401611820013432
0.016215491825247924,0.4401611820013432
0.016215491825247924,0.44056413700470115
0.016349504154382202,0.44056413700470115
0.016349504154382202,0.4412357286769644
0.016483516483516484,0.4412357286769644
0.016483516483516484,0.44244459368703826
0.016751541141785044,0.44244459368703826
0.016751541141785044,0.4432505036937542
0.016885553470919325,0.4432505036937542
0.016885553470919325,0.4455339153794493
0.017019565800053604,0.4455339153794493
0.017019565800053604,0.44701141705842845
0.017153578129187885,0.44701141705842845
0.017153578129187885,0.44875755540631296
0.017287590458322167,0.44875755540631296
0.017287590458322167,0.4491605104096709
0.017421602787456445,0.4491605104096709
0.017421602787456445,0.45090664875755543
0.017555615116590727,0.45090664875755543
0.017555615116590727,0.4525184687709872
0.01768962744572501,0.4525184687709872
0.01768962744572501,0.45305574210879784
0.017823639774859287,0.45305574210879784
0.017823639774859287,0.45453324378777704
0.017957652103993568,0.45453324378777704
0.017957652103993568,0.4552048354600403
0.018091664433127846,0.4552048354600403
0.018091664433127846,0.45601074546675624
0.018225676762262128,0.45601074546675624
0.018225676762262128,0.45641370047011415
0.018493701420530688,0.45641370047011415
0.018493701420530688,0.4568166554734721
0.01862771374966497,0.4568166554734721
0.01862771374966497,0.45695097380792477
0.01876172607879925,0.45695097380792477
0.01876172607879925,0.4572196104768301
0.01902975073706781,0.4572196104768301
0.01902975073706781,0.458025520483546
0.01916376306620209,0.458025520483546
0.01916376306620209,0.4589657488247146
0.01929777539533637,0.4589657488247146
0.01929777539533637,0.4595030221625252
0.019431787724470653,0.4595030221625252
0.019431787724470653,0.45990597716588316
0.01956580005360493,0.45990597716588316
0.01956580005360493,0.461114842175957
0.019833824711873494,0.461114842175957
0.019833824711873494,0.46218938885157823
0.020101849370142054,0.46218938885157823
0.020101849370142054,0.46245802552048354
0.020235861699276332,0.46245802552048354
0.020235861699276332,0.46272666218938885
0.020369874028410614,0.46272666218938885
0.020369874028410614,0.46326393552719947
0.020503886357544895,0.46326393552719947
0.020503886357544895,0.4635325721961048
0.020771911015813455,0.4635325721961048
0.020771911015813455,0.4640698455339154
0.020905923344947737,0.4640698455339154
0.020905923344947737,0.4654130288784419
0.021039935674082015,0.4654130288784419
0.021039935674082015,0.4662189388851578
0.021441972661484857,0.4662189388851578
0.021441972661484857,0.4668905305574211
0.021575984990619138,0.4668905305574211
0.021575984990619138,0.46756212222968435
0.021844009648887698,0.46756212222968435
0.021844009648887698,0.46783075889858966
0.02197802197802198,0.46783075889858966
0.02197802197802198,0.4682337139019476
0.022112034307156258,0.4682337139019476
0.022112034307156258,0.46930826057756886
0.022380058965424818,0.46930826057756886
0.022380058965424818,0.46957689724647417
0.0225140712945591,0.46957689724647417
0.0225140712945591,0.47011417058428473
0.02264808362369338,0.47011417058428473
0.02264808362369338,0.47092008059100066
0.02278209595282766,0.47092008059100066
0.02278209595282766,0.4717259905977166
0.023050120611096223,0.4717259905977166
0.023050120611096223,0.47333781061114844
0.0231841329402305,0.47333781061114844
0.0231841329402305,0.47441235728676967
0.023318145269364782,0.47441235728676967
0.023318145269364782,0.47454667562122227
0.02345215759849906,0.47454667562122227
0.02345215759849906,0.4748153122901276
0.023720182256767624,0.4748153122901276
0.023720182256767624,0.4753525856279382
0.023854194585901902,0.4753525856279382
0.023854194585901902,0.47575554063129616
0.023988206915036184,0.47575554063129616
0.023988206915036184,0.47696440564137005
0.024122219244170465,0.47696440564137005
0.024122219244170465,0.47723304231027536
0.024256231573304744,0.47723304231027536
0.024256231573304744,0.477367360644728
0.024792280889841867,0.477367360644728
0.024792280889841867,0.4780389523169913
0.024926293218976145,0.4780389523169913
0.024926293218976145,0.47817327065144394
0.025060305548110427,0.47817327065144394
0.025060305548110427,0.47897918065815986
0.025194317877244708,0.47897918065815986
0.025194317877244708,0.4791134989926125
0.025730367193781828,0.4791134989926125
0.025730367193781828,0.4796507723304231
0.02586437952291611,0.4796507723304231
0.02586437952291611,0.48085963734049697
0.025998391852050388,0.48085963734049697
0.025998391852050388,0.48126259234385493
0.02640042883945323,0.48126259234385493
0.02640042883945323,0.4813969106783076
0.02653444116858751,0.4813969106783076
0.02653444116858751,0.4816655473472129
0.02666845349772179,0.4816655473472129
0.02666845349772179,0.4834116856950974
0.02680246582685607,0.4834116856950974
0.02680246582685607,0.4842175957018133
0.026936478155990352,0.4842175957018133
0.026936478155990352,0.48435191403626593
0.027204502814258912,0.48435191403626593
0.027204502814258912,0.4855607790463398
0.027338515143393194,0.4855607790463398
0.027338515143393194,0.48636668905305575
0.027472527472527472,0.48636668905305575
0.027472527472527472,0.4867696440564137
0.027606539801661754,0.4867696440564137
0.027606539801661754,0.4873069173942243
0.027740552130796032,0.4873069173942243
